price,model,mileage
"$7,200","Volkswagen Jetta, 2.5 л., 2009 г.","Давидашен, 2009 г., 148,000 миль, Бензин"
"$10,700","Chevrolet Cruze, 1.4 л., 2018 г.","Шенгавит, 2018 г., 89,000 км, Бензин"
"$10,700","Ford Fusion (North America), 2.0 л., гибрид, 2017 г.","В пути, 2017 г., 123,547 миль, Гибрид"
"$5,700","Toyota Vitz хэтчбек, 1.0 л., 2008 г.","Арабкир, 2008 г., 125,000 км, Бензин"
"$9,200","Chevrolet Cruze, 1.4 л., 2016 г.","Арабкир, 2016 г., 78,000 миль, Бензин"
"$10,000","Ford Fusion (North America), 2.5 л., 2013 г.","Чаренцаван, 2013 г., 130,000 миль, Бензин"
"$9,400","Kia Optima, 2.4 л., 2011 г.","Эчмиадзин, 2011 г., 109,000 км, Бензин"
"$10,950","Hyundai Elantra, 1.8 л., 2015 г.","Шенгавит, 2015 г., 98,000 миль, Бензин"
"$2,900","Nissan Sentra, 1.8 л., 2018 г.","В пути, 2018 г., 45,000 миль, Бензин"
"$8,500","Mercedes-Benz B-Class хэтчбек, 2.0 л., 2008 г.","Мартуни, 2008 г., 130,000 км, Бензин"
"$10,500","BMW 5 Series, 3.0 л., 2011 г.","Давидашен, 2011 г., 90,000 миль, Бензин"
"$7,200","Mercedes-Benz A-Class хэтчбек, 1.7 л., 2007 г.","Кентрон, 2007 г., 150,000 км, Бензин"
"$11,000","Nissan Versa хэтчбек, 1.6 л., 2017 г.","Балаовит, 2017 г., 35,000 миль, Бензин"
"$10,700","Chevrolet Cruze, 1.4 л., 2018 г.","Шенгавит, 2018 г., 78,000 км, Бензин"
"$10,700","Chevrolet Cruze, 1.4 л., 2018 г.","Шенгавит, 2018 г., 89,000 км, Бензин"
"$10,300","Volkswagen Jetta, 2.5 л., 2011 г.","Армавир, 2011 г., 110,000 миль, Бензин"
"$10,300","Nissan Rogue, 2.5 л., полный привод, 2017 г.","В пути, 2017 г., 74,000 миль, Бензин"
"$7,500","Hyundai Sonata, 2.4 л., гибрид, 2012 г.","Арабкир, 2012 г., 86,000 миль, Гибрид"
"$10,900","Mazda CX-7, 2.5 л., 2012 г.","Арабкир, 2012 г., 150,000 км, Бензин"
"$7,900","Kia Rio, 1.6 л., 2011 г.","Шенгавит, 2011 г., 105,500 миль, Бензин"
"$10,300","Nissan Versa, 1.6 л., 2017 г.","Армавир, 2017 г., 150,000 км, Бензин"
"$10,300","Chevrolet Volt хэтчбек, 1.4 л., гибрид, 2013 г.","Айнтап, 2013 г., 100,000 км, Гибрид"
"$10,000","Ford Focus хэтчбек, 2.0 л., 2018 г.","Эребуни, 2018 г., 110,000 км, Бензин"
"$9,500","Mazda 3 хэтчбек, 2.5 л., 2017 г.","Малатия Себастия, 2017 г., 50,000 миль, Бензин"
"$10,200","Ford Fusion (North America), 2.5 л., 2018 г.","Малатия Себастия, 2018 г., 100,000 миль, Бензин"
"$9,500","Dodge Journey, 2.4 л., 2020 г.","В пути, 2020 г., 60,000 миль, Бензин"
"$9,000","Hyundai Sonata, 2.4 л., 2010 г.","Шенгавит, 2010 г., 112,000 миль, Бензин"
"$9,000","Nissan Versa хэтчбек, 1.8 л., 2012 г.","Аван, 2012 г., 58,000 км, Бензин"
"$10,600","Chevrolet Cruze, 1.4 л., 2016 г.","Эребуни, 2016 г., 121,000 км, Бензин"
"$7,200","Nissan Leaf хэтчбек, электро, 2012 г.","Шенгавит, 2012 г., 127,000 км, Электро"
"$10,900","Opel Mokka, 1.4 л., 2014 г.","Арабкир, 2014 г., 118,000 км, Бензин"
"$5,200","Hyundai Elantra, 2.0 л., 2019 г.","В пути, 2019 г., 75,000 миль, Бензин"
"$1,000","Kia Forte, 2.0 л., 2016 г.","Ачапняк, 2016 г., 92,480 миль, Бензин"
"$9,200","Kia Forte хэтчбек, 1.6 л., 2011 г.","Ачапняк, 2011 г., 65,978 км, Бензин"
"$9,500","Mazda 3, 2.0 л., 2012 г.","Эребуни, 2012 г., 108,000 миль, Бензин"
"$10,900","Chevrolet Cruze, 1.4 л., 2016 г.","Арабкир, 2016 г., 140,000 км, Бензин"
"$6,800","Nissan Tiida, 1.5 л., 2008 г.","Эчмиадзин, 2008 г., 90,000 км, Бензин"
"$9,300","Chevrolet Cruze, 1.4 л., 2019 г.","Зейтун Канакер, 2019 г., 87,000 км, Бензин"
"$8,500","Chevrolet Cruze, 1.4 л., 2018 г.","Кентрон, 2018 г., 73,000 км, Бензин"
"$9,600","Nissan Sentra, 1.8 л., 2018 г.","В пути, 2018 г., 72,000 миль, Бензин"
"$10,500","Nissan Sentra, 1.8 л., 2014 г.","Малатия Себастия, 2014 г., 25,000 миль, Бензин"
"$11,000","Chevrolet Cruze, 1.4 л., 2017 г.","Давидашен, 2017 г., 80,000 км, Бензин"
"$8,300","Toyota Prius хэтчбек, 1.8 л., гибрид, 2010 г.","Кентрон, 2010 г., 130,000 миль, Гибрид"
"$9,000","Nissan Juke, 1.6 л., полный привод, 2012 г.","Малатия Себастия, 2012 г., 85,000 миль, Бензин"
"$10,999","Kia Forte, 2.0 л., 2018 г.","Абовян, 2018 г., 74,900 миль, Бензин"
"$6,300","Nissan Leaf хэтчбек, электро, 2011 г.","Малатия Себастия, 2011 г., 75,000 км, Электро"
"$11,000","Ford Focus, 2.0 л., 2013 г.","Шенгавит, 2013 г., 136,000 км, Бензин"
"$10,500","Nissan Juke, 1.6 л., полный привод, 2011 г.","Арабкир, 2011 г., 110,000 миль, Бензин"
"$11,000","Hyundai Sonata, 2.4 л., 2011 г.","Кентрон, 2011 г., 78,000 км, Бензин"
"$5,500","Nissan March хэтчбек, 1.2 л., 2012 г.","Масис, 2012 г., 142,000 км, Бензин"
"$10,000","Ford Escape, 2.5 л., полный привод, 2010 г.","Аван, 2010 г., 100,000 миль, Бензин"
"$10,200","Hyundai Elantra, 1.8 л., 2016 г.","Давидашен, 2016 г., 57,000 миль, Бензин"
"$9,500","Hyundai Elantra, 1.8 л., 2011 г.","Зейтун Канакер, 2011 г., 112,000 км, Бензин"
"$11,000","Acura ILX, 2.0 л., 2012 г.","Арабкир, 2012 г., 145,000 миль, Бензин"
"$11,000","Acura ILX, 2.0 л., 2012 г.","Арабкир, 2012 г., 143,000 миль, Бензин"
"$2,000","Hyundai Elantra, 2.0 л., 2019 г.","В пути, 2019 г., 733 миль, Бензин"
"$10,000","BMW 5 Series, 2.8 л., полный привод, 2008 г.","Малатия Себастия, 2008 г., 150,000 км, Бензин"
"$6,900","Nissan Murano, 3.5 л., полный привод, 2007 г.","Арабкир, 2007 г., 146,000 км, Бензин"
"$9,500","Mitsubishi Lancer, 2.4 л., полный привод, 2017 г.","Кентрон, 2017 г., 85,000 миль, Бензин"
"$8,400","Toyota Prius, 1.8 л., гибрид, 2010 г.","Арабкир, 2010 г., 150,000 км, Гибрид"
"$8,000","Peugeot 3008, 1.6 л., 2012 г.","Эребуни, 2012 г., 79,000 км, Бензин"
"$11,000","Chevrolet Equinox, 2.4 л., полный привод, 2012 г.","Эребуни, 2012 г., 140,000 км, Бензин"
"$9,000","Ford Fusion (North America), 2.5 л., 2018 г.","Другие страны, 2018 г., 120,000 км, Бензин"
"$10,000","Nissan Altima купе, 2.5 л., 2012 г.","Эчмиадзин, 2012 г., 145,000 миль, Бензин"
"$8,600","BMW 3 Series купе, 2.8 л., полный привод, 2007 г.","Арташат, 2007 г., 150,000 миль, Бензин"
"$9,200","Kia Forte, 2.0 л., 2020 г.","В пути, 2020 г., 65,000 км, Бензин"
"$9,000","Kia Optima, 2.4 л., 2010 г.","Арташат, 2010 г., 97,000 миль, Бензин"
"$8,200","Nissan Tiida хэтчбек, 1.5 л., 2010 г.","Малатия Себастия, 2010 г., 120,000 км, Бензин"
"$9,900","Suzuki SX4 хэтчбек, 2.0 л., полный привод, 2011 г.","Аван, 2011 г., 86,000 миль, Бензин"
"$9,500","Ford Fiesta, 1.6 л., 2018 г.","Эребуни, 2018 г., 89,000 км, Бензин"
"$6,600","Hyundai Sonata, 2.4 л., гибрид, 2013 г.","Раздан, 2013 г., 107,000 миль, Гибрид"
"$7,000","Opel Insignia, 2.0 л., 2010 г.","Варденис, 2010 г., 148,000 км, Бензин"
"$9,500","Kia Optima, 2.4 л., 2018 г.","Эчмиадзин, 2018 г., 32,000 миль, Бензин"
"$6,800","Volvo V50 универсал, 2.4 л., 2007 г.","Ачапняк, 2007 г., 147,000 миль, Бензин"
"$10,900","Volkswagen Passat, 1.8 л., 2015 г.","Кентрон, 2015 г., 140,000 км, Бензин"
"$9,000","Infiniti G35, 3.5 л., 2008 г.","Эчмиадзин, 2008 г., 148,000 км, Бензин"
"$7,500","Chevrolet Captiva, 2.0 л., дизель, полный привод, 2007 г.","Абовян, 2007 г., 93,000 км, Дизель"
"$4,600","Chevrolet Trax, 1.4 л., 2018 г.","В пути, 2018 г., 13,000 миль, Бензин"
"$10,000","Nissan Pathfinder, 4.0 л., полный привод, 2012 г.","Кентрон, 2012 г., 100,000 км, Бензин"
"$9,900","Subaru Impreza, 2.0 л., полный привод, 2016 г.","Нор Ачин, 2016 г., 105,000 миль, Бензин"
"$9,000","Mercedes-Benz B-Class хэтчбек, 1.7 л., 2009 г.","Кентрон, 2009 г., 98,000 км, Бензин"
"$6,400","Mercedes-Benz A-Class хэтчбек, 1.7 л., 2007 г.","Кентрон, 2007 г., 97,000 км, Бензин"
"$10,800","Mercedes-Benz C-Class, 3.0 л., полный привод, 2013 г.","Абовян, 2013 г., 129,000 миль, Бензин"
"$10,000","Ford Fusion (North America), 2.5 л., 2017 г.","Арташат, 2017 г., 50,000 миль, Бензин"
"$8,900","Hyundai Veloster хэтчбек, 1.6 л., 2012 г.","Арабкир, 2012 г., 99,000 миль, Бензин"
"$5,500","Nissan Tiida хэтчбек, 1.5 л., 2007 г.","Аван, 2007 г., 84,000 км, Бензин"
"$9,900","Hyundai Genesis купе, 3.8 л., полный привод, 2011 г.","Эребуни, 2011 г., 125,000 км, Бензин"
"$10,500","Hyundai Veloster хэтчбек, 1.6 л., 2013 г.","Ачапняк, 2013 г., 57,000 км, Бензин"
"$10,500","Kia Forte, 2.0 л., 2020 г.","В пути, 2020 г., 52,000 км, Бензин"
"$11,000","Kia Forte, 2.0 л., 2017 г.","В пути, 2017 г., 121,994 миль, Бензин"
"$4,800","Hyundai Sonata, 2.4 л., 2019 г.","В пути, 2019 г., 45,000 миль, Бензин"
"$9,500","Volkswagen Jetta, 2.5 л., 2011 г.","Нор Норк, 2011 г., 123,000 миль, Бензин"
"$9,200","Kia Forte, 2.0 л., 2012 г.","Нор Норк, 2012 г., 144,000 км, Бензин"
"$11,000","Toyota Corolla, 1.8 л., 2008 г.","Мецамор, 2008 г., 115,000 км, Бензин"
"$8,600","Mazda 3 хэтчбек, 2.5 л., 2015 г.","Севан, 2015 г., 90,000 км, Бензин"
"$11,000","Kia Forte, 2.0 л., 2017 г.","Гюмри, 2017 г., 44,223 миль, Бензин"
"$9,000","Hyundai Elantra, 2.0 л., 2016 г.","Аван, 2016 г., 83,000 миль, Бензин"
"$5,400","Chevrolet Aveo хэтчбек, 1.4 л., 2007 г.","Давидашен, 2007 г., 145,000 км, Бензин"
"$11,000","Cadillac ATS, 2.0 л., 2013 г.","Кентрон, 2013 г., 60,000 миль, Бензин"
"$2,500","Kia Forte, 2.0 л., 2017 г.","В пути, 2017 г., 140,000 миль, Бензин"
"$10,850","Nissan Versa, 1.6 л., 2018 г.","Ариндж, 2018 г., 70,000 км, Бензин"
"$9,500","Hyundai Elantra, 1.8 л., 2011 г.","Давидашен, 2011 г., 131,000 миль, Бензин"
"$10,500","Audi A4, 1.8 л., 2011 г.","Ачапняк, 2011 г., 139,000 км, Бензин"
"$3,000","Mazda 3, 2.5 л., 2018 г.","В пути, 2018 г., 10,028 миль, Бензин"
"$7,700","Nissan Altima, 2.5 л., 2012 г.","Кентрон, 2012 г., 143,000 миль, Бензин"
